date,gz_spread,ebp,est_prob
1973-01-01,1.1018267879026915,0.01497161998421914,0.21767909190354737
1973-02-01,1.045423143140895,-0.00386970446587375,0.2111763989831264
1973-03-01,0.9956893667936312,-0.09373865407456904,0.18176296933117048
1973-04-01,0.9553327198084648,-0.15322477232966236,0.16377936915802616
1973-05-01,1.0073928110897448,-0.05760854052299136,0.19326628556269032
1973-06-01,1.1422628080798332,0.05138129441415207,0.23056710705199057
1973-07-01,0.9332407654266398,-0.3032438037883277,0.12373315402043976
1973-08-01,0.9432599258337324,-0.18947042252203483,0.15340843848955274
1973-09-01,0.770816861878993,-0.34759955852895663,0.11333119030234848
1973-10-01,1.2266048014370992,0.1325507059208033,0.26077702860882634
1973-11-01,1.309286649008018,0.08507206034113368,0.2428631964628429
1973-12-01,1.2373560988718553,0.01485519734329621,0.2176385595340965
1974-01-01,1.1116754127027628,-0.03916898670185231,0.1993046804603043
1974-02-01,1.2493236783221096,0.1664445688468155,0.27396893963108654
1974-03-01,1.1642054913883215,-0.07067183903002472,0.18905678913971943
1974-04-01,1.1758896088595747,0.07513726653416963,0.23920083758011285
1974-05-01,1.21719064751747,0.08335453694751305,0.2422278877112742
1974-06-01,1.7519119977036726,0.671955847932036,0.49888305261622456
1974-07-01,2.43916325793796,1.2365637697475955,0.7470287056896728
1974-08-01,1.92326740115409,0.8061759205059658,0.5619801164093775
1974-09-01,2.1948562353303114,0.9089171510471958,0.6093176773546607
1974-10-01,2.3949455635439416,1.070215373399286,0.6802391210787441
1974-11-01,2.207241842416999,1.0090348379856005,0.6539426719992626
1974-12-01,2.5232673424169105,1.1725492027477562,0.7222153321711575
1975-01-01,1.6641929937454714,0.3977878816408511,0.37177396550385655
1975-02-01,1.5799738986631375,0.40298619001161806,0.37410191461696857
1975-03-01,1.831421520262484,0.5946568380223312,0.4624554371668447
1975-04-01,1.490072031684487,0.2359502074131623,0.30201174051066904
1975-05-01,1.54039950108931,0.34555101954311707,0.34865351119535715
1975-06-01,1.4051214139131998,0.2451853282417158,0.3058327481331221
1975-07-01,1.4292460024258211,0.3624692931884148,0.356085170714847
1975-08-01,1.2422426193442044,0.11336830587443236,0.25345853168922183
1975-09-01,1.3664161352753077,0.29039820008207573,0.3248396734945955
1975-10-01,1.2958257093283778,0.09570294891007848,0.2468155283208825
1975-11-01,1.2765636594092638,0.1690717849356007,0.2750050936654898
1975-12-01,1.1991074011189868,-0.04139689264741708,0.19856913214818744
1976-01-01,0.9674096710015536,-0.1567260629893622,0.16275813679445583
1976-02-01,1.0469007895261249,-0.05707699353476148,0.19343877287898417
1976-03-01,0.9955225191692078,-0.104808929352881,0.17832588426661702
1976-04-01,1.0375807310964729,-0.04780766424640603,0.196461753848741
1976-05-01,1.005484866520766,-0.10388988444364931,0.17860965952240265
1976-06-01,0.998027705588457,-0.04285134264010448,0.19808982669906405
1976-07-01,0.9617176785764174,-0.08454490141123316,0.1846487148597626
1976-08-01,0.8894486403649354,-0.16602746557439374,0.1600653283277275
1976-09-01,0.83918183790734,-0.201965410231996,0.14993635735279837
1976-10-01,0.9034786701147208,-0.14196533125287636,0.16709157201850827
1976-11-01,0.8291283900156177,-0.3742975532545971,0.10737923343900228
1976-12-01,1.0840167920685375,-0.04018076134892334,0.19897043756062735
1977-01-01,0.9670989016344392,-0.30204934019196106,0.12402222285062038
1977-02-01,0.9206514937709138,-0.19488121084813037,0.15189841450748875
1977-03-01,0.9071250487410136,-0.16724468620841948,0.15971510400021385
1977-04-01,0.8503124293583652,-0.24822803312879127,0.13754007166002585
1977-05-01,0.7991848859930067,-0.25790128580608085,0.135039157251075
1977-06-01,0.8399434125378092,-0.26818901023973407,0.13241379474817608
1977-07-01,0.8732945856008134,-0.1830911207658119,0.15520148209833484
1977-08-01,0.9241339814992364,-0.1890927829423136,0.15351419877847047
1977-09-01,0.943336649159215,-0.14087375590044382,0.1674149628772373
1977-10-01,0.9325222655950992,-0.15098363978774376,0.16443522563428797
1977-11-01,0.935028180607198,-0.13463715583401037,0.16927035033953255
1977-12-01,0.7882763677006503,-0.332809696250167,0.11672792794501873
1978-01-01,0.759513126712875,-0.3389294428076006,0.11531377316610796
1978-02-01,0.7191687235261861,-0.3409214534517202,0.11485609596891184
1978-03-01,0.7255268727972175,-0.33717079564917873,0.11571890972204683
1978-04-01,0.7369143187339416,-0.2856571130244433,0.1280370506738252
1978-05-01,0.7784348604544221,-0.24312513787560375,0.13887203049759117
1978-06-01,0.6299066215423954,-0.44359362223987864,0.09298945240508202
1978-07-01,0.6259920288228817,-0.3623430566103306,0.11001586680273784
1978-08-01,0.6054745490896358,-0.38809754847023137,0.10439256874214035
1978-09-01,0.6436323087965222,-0.3164436579710428,0.12057008113550136
1978-10-01,0.5629925004200966,-0.49808948389849217,0.08271467045453809
1978-11-01,0.6671743787992502,-0.2518910640250337,0.1365893404342843
1978-12-01,0.6444213873107442,-0.3833705579956471,0.10540875421410464
1979-01-01,0.6952421904911633,-0.26002566502438373,0.13449412521821172
1979-02-01,0.6638576645251255,-0.31528549517556803,0.12084531079263378
1979-03-01,0.6506520205270432,-0.188742458642966,0.15361235241998286
1979-04-01,0.6444352858070996,-0.23581210370905137,0.14079614901852092
1979-05-01,0.7059792549205242,-0.259090064798319,0.13473397701342996
1979-06-01,0.7385814429449198,-0.1822715389731132,0.15543284247908015
1979-07-01,0.6516171960944991,-0.2571397111317114,0.1352349156619393
1979-08-01,0.5807234943071713,-0.33748635242358227,0.11564614111563422
1979-09-01,0.6950940222186572,-0.15083854310809952,0.16447774606726667
