Year,Month,PCE,I_NS,I_ES,I_RS,I_chPI,X,IM,G,PGDP,GDP_nominal,GDP_real
1939,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,4,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,5,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,6,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,7,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,8,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,9,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,10,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,11,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1939,12,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,1,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,2,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,3,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,4,156.161,7.889,9.402,10.541,0.4949999999999999,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,5,156.161,7.889,9.402,10.541,0.49499999999999994,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,6,156.161,7.889,9.402,10.541,0.49500000000000005,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,7,156.161,7.889,9.402,10.541,0.49500000000000016,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
1940,8,156.161,7.889,9.402,10.541,0.495,18.394,7.519,40.274,11.141,235.637,2115.0435328965086
